0,1,1
0,13,1
0,14,1.41421
1,13,1.41421
1,2,1
1,14,1
1,15,1.41421
2,14,1.41421
2,3,1
2,15,1
2,16,1.41421
3,15,1.41421
3,4,1
3,16,1
3,17,1.41421
4,16,1.41421
4,5,1
4,17,1
4,18,1.41421
5,17,1.41421
5,6,1
5,18,1
5,19,1.41421
6,18,1.41421
6,7,1
6,19,1
6,20,1.41421
7,19,1.41421
7,8,1
7,20,1
7,21,1.41421
8,20,1.41421
8,9,1
8,21,1
8,22,1.41421
9,21,1.41421
9,10,1
9,22,1
9,23,1.41421
10,22,1.41421
10,11,1
10,23,1
10,24,1.41421
11,23,1.41421
11,12,1
11,24,1
11,25,1.41421
12,24,1.41421
13,14,1
13,26,1
13,27,1.41421
14,26,1.41421
14,15,1
14,27,1
14,28,1.41421
15,27,1.41421
15,16,1
15,28,1
15,29,1.41421
16,28,1.41421
16,17,1
16,29,1
16,30,1.41421
17,29,1.41421
17,18,1
17,30,1
17,31,1.41421
18,30,1.41421
18,19,1
18,31,1
18,32,1.41421
19,31,1.41421
19,20,1
19,32,1
19,33,1.41421
20,32,1.41421
20,21,1
20,33,1
20,34,1.41421
21,33,1.41421
21,22,1
21,34,1
21,35,1.41421
22,34,1.41421
22,23,1
22,35,1
22,36,1.41421
23,35,1.41421
23,24,1
23,36,1
23,37,1.41421
24,36,1.41421
24,25,1
24,37,1
24,38,1.41421
25,37,1.41421
26,27,1
26,39,1
26,40,1.41421
27,39,1.41421
27,28,1
27,40,1
27,41,1.41421
28,40,1.41421
28,29,1
28,41,1
28,42,1.41421
29,41,1.41421
29,30,1
29,42,1
29,43,1.41421
30,42,1.41421
30,31,1
30,43,1
30,44,1.41421
31,43,1.41421
31,32,1
31,44,1
31,45,1.41421
32,44,1.41421
32,33,1
32,45,1
32,46,1.41421
33,45,1.41421
33,34,1
33,46,1
33,47,1.41421
34,46,1.41421
34,35,1
34,47,1
34,48,1.41421
35,47,1.41421
35,36,1
35,48,1
35,49,1.41421
36,48,1.41421
36,37,1
36,49,1
36,50,1.41421
37,49,1.41421
37,38,1
37,50,1
37,51,1.41421
38,50,1.41421
39,40,1
39,52,1
39,53,1.41421
40,52,1.41421
40,41,1
40,53,1
40,54,1.41421
41,53,1.41421
41,42,1
41,54,1
41,55,1.41421
42,54,1.41421
42,43,1
42,55,1
42,56,1.41421
43,55,1.41421
43,44,1
43,56,1
43,57,1.41421
44,56,1.41421
44,45,1
44,57,1
44,58,1.41421
45,57,1.41421
45,46,1
45,58,1
45,59,1.41421
46,58,1.41421
46,47,1
46,59,1
46,60,1.41421
47,59,1.41421
47,48,1
47,60,1
47,61,1.41421
48,60,1.41421
48,49,1
48,61,1
48,62,1.41421
49,61,1.41421
49,50,1
49,62,1
49,63,1.41421
50,62,1.41421
50,51,1
50,63,1
50,64,1.41421
51,63,1.41421
52,53,1
52,65,1
52,66,1.41421
53,65,1.41421
53,54,1
53,66,1
53,67,1.41421
54,66,1.41421
54,55,1
54,67,1
54,68,1.41421
55,67,1.41421
55,56,1
55,68,1
55,69,1.41421
56,68,1.41421
56,57,1
56,69,1
56,70,1.41421
57,69,1.41421
57,58,1
57,70,1
57,71,1.41421
58,70,1.41421
58,59,1
58,71,1
58,72,1.41421
59,71,1.41421
59,60,1
59,72,1
59,73,1.41421
60,72,1.41421
60,61,1
60,73,1
60,74,1.41421
61,73,1.41421
61,62,1
61,74,1
61,75,1.41421
62,74,1.41421
62,63,1
62,75,1
62,76,1.41421
63,75,1.41421
63,64,1
63,76,1
63,77,1.41421
64,76,1.41421
65,66,1
65,78,1
65,79,1.41421
66,78,1.41421
66,67,1
