0.00861924,0.00416719
4.7934,1.98868
8.3483,3.41448
11.3103,4.39096
13.8108,4.99289
15.8914,5.19354
17.5428,4.97019
18.7363,4.37957
19.5336,3.47082
19.9734,2.06831
20.0003,0.000874401
4.34901,2.50239
5.59377,2.67328
8.89878,3.78541
11.7838,4.76651
14.2293,5.43162
16.2927,5.73064
18.008,5.6326
19.3532,5.10966
20.282,4.15269
20.8199,2.90409
21.0496,2.5249
7.39526,4.4785
8.24288,4.5365
10.2892,4.86132
12.9804,5.59838
15.326,6.22957
17.2454,6.5954
18.8541,6.55416
20.1862,6.10393
21.1753,5.33587
21.751,4.78664
21.9035,4.58549
9.50161,6.35351
10.3771,6.33488
12.1811,6.47922
14.7494,6.86869
17.1182,7.31739
18.9097,7.63403
20.233,7.71179
21.3308,7.38321
22.1866,6.92154
22.6984,6.58629
22.8677,6.46175
10.7521,8.19553
11.7136,8.14933
13.4951,8.20359
16.0278,8.39275
19.3955,8.69025
21.3173,8.79976
22.3515,8.88277
22.9459,8.75675
23.4536,8.49501
23.7877,8.31174
23.9004,8.24959
11.157,10
12.1711,10
13.9472,10
16.508,10
19.7738,10
24.9823,10
24.9823,10
24.9823,10
24.9823,10
24.9823,10
24.9823,10
10.7521,11.8045
11.7136,11.8507
13.4951,11.7964
16.0278,11.6072
19.3955,11.3097
21.3173,11.2002
22.3515,11.1172
22.9459,11.2432
23.4536,11.505
23.7877,11.6883
23.9004,11.7504
9.50161,13.6465
10.3771,13.6651
12.1811,13.5208
14.7494,13.1313
17.1182,12.6826
18.9097,12.366
20.233,12.2882
21.3308,12.6168
22.1866,13.0785
22.6984,13.4137
22.8677,13.5383
7.39526,15.5215
8.24288,15.4635
10.2892,15.1387
12.9804,14.4016
15.326,13.7704
17.2454,13.4046
18.8541,13.4458
20.1862,13.8961
21.1753,14.6641
21.751,15.2134
21.9035,15.4145
4.34901,17.4976
5.59377,17.3267
8.89878,16.2146
11.7838,15.2335
14.2293,14.5684
16.2927,14.2694
18.008,14.3674
19.3532,14.8903
20.282,15.8473
20.8199,17.0959
21.0496,17.4751
0.00861924,19.9958
4.7934,18.0113
8.3483,16.5855
11.3103,15.609
13.8108,15.0071
15.8914,14.8065
17.5428,15.0298
18.7363,15.6204
19.5336,16.5292
19.9734,17.9317
20.0003,19.9991
