0,1,1
0,11,1
0,12,1.41421
1,11,1.41421
1,2,1
1,12,1
1,13,1.41421
2,12,1.41421
2,3,1
2,13,1
2,14,1.41421
3,13,1.41421
3,4,1
3,14,1
3,15,1.41421
4,14,1.41421
4,5,1
4,15,1
4,16,1.41421
5,15,1.41421
5,6,1
5,16,1
5,17,1.41421
6,16,1.41421
6,7,1
6,17,1
6,18,1.41421
7,17,1.41421
7,8,1
7,18,1
7,19,1.41421
8,18,1.41421
8,9,1
8,19,1
8,20,1.41421
9,19,1.41421
9,10,1
9,20,1
9,21,1.41421
10,20,1.41421
11,12,1
11,22,1
11,23,1.41421
12,22,1.41421
12,13,1
12,23,1
12,24,1.41421
13,23,1.41421
13,14,1
13,24,1
13,25,1.41421
14,24,1.41421
14,15,1
14,25,1
14,26,1.41421
15,25,1.41421
15,16,1
15,26,1
15,27,1.41421
16,26,1.41421
16,17,1
16,27,1
16,28,1.41421
17,27,1.41421
17,18,1
17,28,1
17,29,1.41421
18,28,1.41421
18,19,1
18,29,1
18,30,1.41421
19,29,1.41421
19,20,1
19,30,1
19,31,1.41421
20,30,1.41421
20,21,1
20,31,1
20,32,1.41421
21,31,1.41421
22,23,1
22,33,1
22,34,1.41421
23,33,1.41421
23,24,1
23,34,1
23,35,1.41421
24,34,1.41421
24,25,1
24,35,1
24,36,1.41421
25,35,1.41421
25,26,1
25,36,1
25,37,1.41421
26,36,1.41421
26,27,1
26,37,1
26,38,1.41421
27,37,1.41421
27,28,1
27,38,1
27,39,1.41421
28,38,1.41421
28,29,1
28,39,1
28,40,1.41421
29,39,1.41421
29,30,1
29,40,1
29,41,1.41421
30,40,1.41421
30,31,1
30,41,1
30,42,1.41421
31,41,1.41421
31,32,1
31,42,1
31,43,1.41421
32,42,1.41421
33,34,1
33,44,1
33,45,1.41421
34,44,1.41421
34,35,1
34,45,1
34,46,1.41421
35,45,1.41421
35,36,1
35,46,1
35,47,1.41421
36,46,1.41421
36,37,1
36,47,1
36,48,1.41421
37,47,1.41421
37,38,1
37,48,1
37,49,1.41421
38,48,1.41421
38,39,1
38,49,1
38,50,1.41421
39,49,1.41421
39,40,1
39,50,1
39,51,1.41421
40,50,1.41421
40,41,1
40,51,1
40,52,1.41421
41,51,1.41421
41,42,1
41,52,1
41,53,1.41421
42,52,1.41421
42,43,1
42,53,1
42,54,1.41421
43,53,1.41421
44,45,1
44,55,1
44,56,1.41421
45,55,1.41421
45,46,1
45,56,1
45,57,1.41421
46,56,1.41421
46,47,1
46,57,1
46,58,1.41421
47,57,1.41421
47,48,1
47,58,1
47,59,1.41421
48,58,1.41421
48,49,1
48,59,1
48,60,1.41421
49,59,1.41421
49,50,1
49,60,1
49,61,1.41421
50,60,1.41421
50,51,1
50,61,1
50,62,1.41421
51,61,1.41421
51,52,1
51,62,1
51,63,1.41421
52,62,1.41421
52,53,1
52,63,1
52,64,1.41421
53,63,1.41421
53,54,1
53,64,1
53,65,1.41421
54,64,1.41421
55,56,1
55,66,1
55,67,1.41421
56,66,1.41421
56,57,1
56,67,1
56,68,1.41421
57,67,1.41421
57,58,1
57,68,1
57,69,1.41421
58,68,1.41421
58,59,1
58,69,1
58,70,1.41421
59,69,1.41421
59,60,1
59,70,1
59,71,1.41421
60,70,1.41421
60,61,1
60,71,1
60,72,1.41421
61,71,1.41421
61,62,1
61,72,1
61,73,1.41421
62,72,1.41421
62,63,1
62,73,1
62,74,1.41421
63,73,1.41421
63,64,1
63,74,1
63,75,1.41421
64,74,1.41421
64,65,1
64,75,1
64,76,1.41421
65,75,1.41421
66,67,1
66,77,1
66,78,1.41421
67,77,1.41421
67,68,1
67,78,1
67,79,1.41421
68,78,1.41421
68,69,1
68,79,1
68,80,1.41421
69,79,1.41421
69,70,1
69,80,1
69,81,1.41421
70,80,1.41421
70,71,1
70,81,1
70,82,1.41421
71,81,1.41421
71,72,1
71,82,1
71,83,1.41421
72,82,1.41421
72,73,1
72,83,1
72,84,1.41421
73,83,1.41421
73,74,1
73,84,1
73,85,1.41421
74,84,1.41421
74,75,1
74,85,1
74,86,1.41421
75,85,1.41421
75,76,1
75,86,1
75,87,1.41421
76,86,1.41421
77,78,1
77,88,1
77,89,1.41421
78,88,1.41421
78,79,1
78,89,1
78,90,1.41421
79,89,1.41421
79,80,1
79,90,1
79,91,1.41421
80,90,1.41421
80,81,1
80,91,1
80,92,1.41421
81,91,1.41421
81,82,1
81,92,1
81,93,1.41421
82,92,1.41421
82,83,1
82,93,1
82,94,1.41421
83,93,1.41421
83,84,1
83,94,1
83,95,1.41421
84,94,1.41421
84,85,1
84,95,1
84,96,1.41421
85,95,1.41421
85,86,1
85,96,1
85,97,1.41421
86,96,1.41421
86,87,1
86,97,1
86,98,1.41421
87,97,1.41421
88,89,1
88,99,1
88,100,1.41421
89,99,1.41421
89,90,1
89,100,1
89,101,1.41421
90,100,1.41421
90,91,1
90,101,1
90,102,1.41421
91,101,1.41421
91,92,1
91,102,1
91,103,1.41421
92,102,1.41421
92,93,1
92,103,1
92,104,1.41421
93,103,1.41421
93,94,1
93,104,1
93,105,1.41421
94,104,1.41421
94,95,1
94,105,1
94,106,1.41421
95,105,1.41421
95,96,1
95,106,1
95,107,1.41421
96,106,1.41421
96,97,1
96,107,1
96,108,1.41421
97,107,1.41421
97,98,1
97,108,1
97,109,1.41421
98,108,1.41421
99,100,1
99,110,1
99,111,1.41421
100,110,1.41421
100,101,1
100,111,1
100,112,1.41421
101,111,1.41421
101,102,1
101,112,1
101,113,1.41421
102,112,1.41421
102,103,1
102,113,1
102,114,1.41421
103,113,1.41421
103,104,1
103,114,1
103,115,1.41421
104,114,1.41421
104,105,1
104,115,1
104,116,1.41421
105,115,1.41421
105,106,1
105,116,1
105,117,1.41421
106,116,1.41421
106,107,1
106,117,1
106,118,1.41421
107,117,1.41421
107,108,1
107,118,1
107,119,1.41421
108,118,1.41421
108,109,1
108,119,1
108,120,1.41421
109,119,1.41421
10,21,1
21,32,1
32,43,1
43,54,1
54,65,1
65,76,1
76,87,1
87,98,1
98,109,1
109,120,1
110,111,1
111,112,1
112,113,1
113,114,1
114,115,1
115,116,1
116,117,1
117,118,1
118,119,1
119,120,1
